 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  I,  Z =  53,  atomic weight = 1.26904E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.37703E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 53
 #
 # Total elastic cross section = 5.79767E-18 cm**2 = 2.07039E-01 a0**2
 # 1st transport cross section = 2.49278E-22 cm**2 = 8.90190E-06 a0**2
 # 2nd transport cross section = 6.89927E-22 cm**2 = 2.46377E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  6.100E+00  2.83103E-03  1.06919E-19  3.81815E-03  0.00000E+00  1.0E-07
  6.200E+00  2.92452E-03  1.00349E-19  3.58352E-03  0.00000E+00  1.0E-07
  6.300E+00  3.01952E-03  9.42784E-20  3.36674E-03  0.00000E+00  1.0E-07
  6.400E+00  3.11604E-03  8.86623E-20  3.16619E-03  0.00000E+00  1.0E-07
  6.500E+00  3.21407E-03  8.34610E-20  2.98045E-03  0.00000E+00  1.0E-07
  6.600E+00  3.31362E-03  7.86381E-20  2.80822E-03  0.00000E+00  1.0E-07
  6.700E+00  3.41468E-03  7.41610E-20  2.64834E-03  0.00000E+00  1.0E-07
  6.800E+00  3.51725E-03  6.99995E-20  2.49973E-03  0.00000E+00  1.0E-07
  6.900E+00  3.62133E-03  6.61277E-20  2.36146E-03  0.00000E+00  1.0E-07
  7.000E+00  3.72692E-03  6.25219E-20  2.23270E-03  0.00000E+00  1.0E-07
  7.100E+00  3.83403E-03  5.91602E-20  2.11265E-03  0.00000E+00  1.0E-07
  7.200E+00  3.94265E-03  5.60227E-20  2.00061E-03  0.00000E+00  1.0E-07
  7.300E+00  4.05278E-03  5.30918E-20  1.89594E-03  0.00000E+00  1.0E-07
  7.400E+00  4.16442E-03  5.03515E-20  1.79808E-03  0.00000E+00  1.0E-07
  7.500E+00  4.27757E-03  4.77870E-20  1.70650E-03  0.00000E+00  1.0E-07
  7.600E+00  4.39223E-03  4.53847E-20  1.62072E-03  0.00000E+00  1.0E-07
  7.700E+00  4.50840E-03  4.31325E-20  1.54029E-03  0.00000E+00  1.0E-07
  7.800E+00  4.62608E-03  4.10193E-20  1.46482E-03  0.00000E+00  1.0E-07
  7.900E+00  4.74527E-03  3.90349E-20  1.39396E-03  0.00000E+00  1.0E-07
  8.000E+00  4.86597E-03  3.71699E-20  1.32736E-03  0.00000E+00  1.0E-07
  8.100E+00  4.98817E-03  3.54156E-20  1.26472E-03  0.00000E+00  1.0E-07
  8.200E+00  5.11188E-03  3.37645E-20  1.20575E-03  0.00000E+00  1.0E-07
  8.300E+00  5.23711E-03  3.22092E-20  1.15021E-03  0.00000E+00  1.0E-07
  8.400E+00  5.36383E-03  3.07432E-20  1.09786E-03  0.00000E+00  1.0E-07
  8.500E+00  5.49207E-03  2.93601E-20  1.04847E-03  0.00000E+00  1.0E-07
  8.600E+00  5.62181E-03  2.80546E-20  1.00185E-03  0.00000E+00  1.0E-07
  8.700E+00  5.75306E-03  2.68214E-20  9.57810E-04  0.00000E+00  1.0E-07
  8.800E+00  5.88581E-03  2.56558E-20  9.16186E-04  0.00000E+00  1.0E-07
  8.900E+00  6.02007E-03  2.45533E-20  8.76813E-04  0.00000E+00  1.0E-07
  9.000E+00  6.15583E-03  2.35098E-20  8.39551E-04  0.00000E+00  1.0E-07
  9.100E+00  6.29310E-03  2.25217E-20  8.04265E-04  0.00000E+00  1.0E-07
  9.200E+00  6.43187E-03  2.15854E-20  7.70828E-04  0.00000E+00  1.0E-07
  9.300E+00  6.57214E-03  2.06976E-20  7.39125E-04  0.00000E+00  1.0E-07
  9.400E+00  6.71392E-03  1.98554E-20  7.09048E-04  0.00000E+00  1.0E-07
  9.500E+00  6.85720E-03  1.90559E-20  6.80499E-04  0.00000E+00  1.0E-07
  9.600E+00  7.00198E-03  1.82967E-20  6.53386E-04  0.00000E+00  1.0E-07
  9.700E+00  7.14827E-03  1.75752E-20  6.27620E-04  0.00000E+00  1.0E-07
  9.800E+00  7.29605E-03  1.68892E-20  6.03124E-04  0.00000E+00  1.0E-07
  9.900E+00  7.44534E-03  1.62367E-20  5.79822E-04  0.00000E+00  1.0E-07
  1.000E+01  7.59612E-03  1.56156E-20  5.57644E-04  0.00000E+00  1.0E-07
  1.025E+01  7.97965E-03  1.41892E-20  5.06707E-04  0.00000E+00  1.0E-07
  1.050E+01  8.37255E-03  1.29234E-20  4.61504E-04  0.00000E+00  1.0E-07
  1.075E+01  8.77480E-03  1.17969E-20  4.21276E-04  0.00000E+00  1.0E-07
