 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Total elastic cross section = 2.77957E-19 cm**2 = 9.92602E-03 a0**2
 # 1st transport cross section = 5.69685E-24 cm**2 = 2.03438E-07 a0**2
 # 2nd transport cross section = 1.63060E-23 cm**2 = 5.82300E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  3.750E-02  1.07092E-07  2.13044E-14  7.60794E+02  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  2.06963E-14  7.39077E+02  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  2.01159E-14  7.18351E+02  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  1.94291E-14  6.93826E+02  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  1.87801E-14  6.70650E+02  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  1.81699E-14  6.48860E+02  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  1.75180E-14  6.25577E+02  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  1.68557E-14  6.01927E+02  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  1.62388E-14  5.79898E+02  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  1.56416E-14  5.58572E+02  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  1.49904E-14  5.35316E+02  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  1.43873E-14  5.13779E+02  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  1.38287E-14  4.93832E+02  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  1.32310E-14  4.72487E+02  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  1.26578E-14  4.52018E+02  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  1.21284E-14  4.33112E+02  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  1.16065E-14  4.14475E+02  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  1.10745E-14  3.95478E+02  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  1.05837E-14  3.77951E+02  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  1.01305E-14  3.61765E+02  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  9.64761E-15  3.44522E+02  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  9.20099E-15  3.28573E+02  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  8.78852E-15  3.13844E+02  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  8.37752E-15  2.99167E+02  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  7.97723E-15  2.84872E+02  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  7.60731E-15  2.71662E+02  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  4.67379E-15  1.66904E+02  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  2.88513E-15  1.03030E+02  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  1.81489E-15  6.48108E+01  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  1.17228E-15  4.18630E+01  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  7.79460E-16  2.78350E+01  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  5.33701E-16  1.90588E+01  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  3.75991E-16  1.34269E+01  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  2.71981E-16  9.71262E+00  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  2.01533E-16  7.19687E+00  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  1.52613E-16  5.44992E+00  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  1.17860E-16  4.20884E+00  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  9.25918E-17  3.30651E+00  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  7.38670E-17  2.63784E+00  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  5.97383E-17  2.13329E+00  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  4.89013E-17  1.74630E+00  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  4.04619E-17  1.44492E+00  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  3.37970E-17  1.20691E+00  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  2.84746E-17  1.01685E+00  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  2.41746E-17  8.63291E-01  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  2.06649E-17  7.37957E-01  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  1.77797E-17  6.34924E-01  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  1.53883E-17  5.49525E-01  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  1.33874E-17  4.78074E-01  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  1.17029E-17  4.17917E-01  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  1.02772E-17  3.67004E-01  0.00000E+00  1.0E-05
  7.500E-01  4.28362E-05  9.06321E-18  3.23653E-01  0.00000E+00  1.0E-05
  7.750E-01  4.57395E-05  8.02160E-18  2.86456E-01  0.00000E+00  1.0E-05
  8.000E-01  4.87380E-05  7.12541E-18  2.54453E-01  0.00000E+00  1.0E-05
  8.250E-01  5.18317E-05  6.35126E-18  2.26808E-01  0.00000E+00  1.0E-05
  8.500E-01  5.50205E-05  5.67958E-18  2.02821E-01  0.00000E+00  1.0E-05
  8.750E-01  5.83045E-05  5.09310E-18  1.81878E-01  0.00000E+00  1.0E-05
  9.000E-01  6.16838E-05  4.58053E-18  1.63574E-01  0.00000E+00  1.0E-05
  9.250E-01  6.51582E-05  4.13084E-18  1.47515E-01  0.00000E+00  1.0E-05
  9.500E-01  6.87277E-05  3.73467E-18  1.33368E-01  0.00000E+00  1.0E-05
  9.750E-01  7.23925E-05  3.38418E-18  1.20851E-01  0.00000E+00  1.0E-05
  1.000E+00  7.61524E-05  3.07373E-18  1.09765E-01  0.00000E+00  8.4E-05
  1.100E+00  9.21439E-05  2.13555E-18  7.62619E-02  0.00000E+00  6.3E-05
  1.200E+00  1.09658E-04  1.52782E-18  5.45595E-02  0.00000E+00  3.4E-05
  1.300E+00  1.28695E-04  1.12048E-18  4.00131E-02  0.00000E+00  7.1E-06
  1.400E+00  1.49255E-04  8.39594E-19  2.99824E-02  0.00000E+00  1.4E-05
  1.500E+00  1.71338E-04  6.41044E-19  2.28921E-02  0.00000E+00  2.5E-05
  1.600E+00  1.94942E-04  4.97586E-19  1.77691E-02  0.00000E+00  2.6E-05
  1.700E+00  2.20070E-04  3.91956E-19  1.39970E-02  0.00000E+00  2.1E-05
  1.800E+00  2.46720E-04  3.12813E-19  1.11708E-02  0.00000E+00  1.2E-05
  1.900E+00  2.74892E-04  2.52615E-19  9.02106E-03  0.00000E+00  2.0E-06
  2.000E+00  3.04586E-04  2.06184E-19  7.36295E-03  0.00000E+00  6.4E-06
  2.100E+00  3.35803E-04  1.69918E-19  6.06788E-03  0.00000E+00  1.1E-05
  2.200E+00  3.68542E-04  1.41271E-19  5.04487E-03  0.00000E+00  1.2E-05
  2.300E+00  4.02802E-04  1.18400E-19  4.22815E-03  0.00000E+00  9.6E-06
