 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Br,  Z =  35,  atomic weight = 7.99040E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.60865E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 35
 #
 # Total elastic cross section = 2.75914E-18 cm**2 = 9.85306E-02 a0**2
 # 1st transport cross section = 1.06040E-22 cm**2 = 3.78675E-06 a0**2
 # 2nd transport cross section = 2.98267E-22 cm**2 = 1.06513E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  7.000E-02  3.73156E-07  1.19025E-13  4.25045E+03  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  1.12436E-13  4.01516E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  1.06163E-13  3.79114E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  1.00223E-13  3.57903E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  9.46329E-14  3.37940E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  8.93747E-14  3.19163E+03  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  8.44111E-14  3.01438E+03  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  7.97265E-14  2.84709E+03  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  7.53341E-14  2.69023E+03  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  7.12161E-14  2.54317E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  6.73488E-14  2.40507E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  6.37044E-14  2.27493E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  6.02930E-14  2.15310E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  3.59315E-14  1.28314E+03  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  2.27167E-14  8.11228E+02  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  1.53980E-14  5.49872E+02  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  1.09607E-14  3.91414E+02  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  8.04542E-15  2.87307E+02  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  6.04286E-15  2.15794E+02  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  4.63063E-15  1.65363E+02  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  3.60191E-15  1.28627E+02  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  2.82649E-15  1.00936E+02  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  2.23450E-15  7.97953E+01  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  1.78477E-15  6.37355E+01  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  1.43854E-15  5.13711E+01  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  1.16845E-15  4.17262E+01  0.00000E+00  1.0E-05
